gsm8k_index,annotations,orphan_steps,identity_annotation,tiers_rejected,tiers_accepted,process_coherence,tool_utilization,causal_sufficiency,C1,C2,C3,C4,same_pattern_all_rejected_tiers,failed_gates
637,3,0 1,True,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
652,6,0 1,False,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
672,4,0 1,False,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
675,4,0 1 2,False,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
687,5,1,True,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
726,2,0,True,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
737,3,0 1,False,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
753,4,0,False,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
754,6,3,True,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
772,6,0 1 2 3 4,True,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
802,2,0,True,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
809,2,0,False,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
815,5,0 2 3,True,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
831,5,0,False,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
884,2,0,False,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
935,4,0,True,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
969,5,0,False,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
1014,5,0 1 2 3,False,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
1022,3,0,False,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
1042,5,0 1 2 3,False,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
1045,2,0,True,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
1075,6,1,False,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
1095,3,0,True,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
1100,3,0,False,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
1137,4,0 1,False,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
1161,6,0 1,True,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
1190,2,0,True,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
1200,2,0,True,terse standard verbose evidence,minimal,4,4,0,0,0,0,0,True,process_coherence + tool_utilization
