task_id,gsm8k_index,step,operand,new_operand,delta,operand_in_question,clean,steps_recomputed,divergent_answer,reference_answer,wiring,dropped_links,nonneg_changed_selection,nonneg_rejected_candidate,nonneg_rejected_answer,nonneg_fallback_negative_kept
gsm8k-test-0094,94,1,60,61,1,True,True,1 2,349,348,identical,0,False,,,False
gsm8k-test-0095,95,2,3,4,1,True,True,2 3,60,40,subset,1,False,,,False
gsm8k-test-0096,96,1,9,10,1,True,True,1,4,3,identical,0,False,,,False
gsm8k-test-0097,97,0,32,34,2,True,True,0 1 2,12.75,12,identical,0,False,,,False
gsm8k-test-0099,99,2,40,41,1,True,True,2 3,57,58,identical,0,False,,,False
gsm8k-test-0100,100,4,60,61,1,True,True,4 5,176,175,identical,0,False,,,False
gsm8k-test-0101,101,2,4,5,1,True,True,2,4.8,6,identical,0,False,,,False
gsm8k-test-0102,102,1,3,4,1,False,True,1 2,28,26,identical,0,False,,,False
gsm8k-test-0103,103,1,10,11,1,True,True,1,154,140,identical,0,False,,,False
gsm8k-test-0104,104,2,3,4,1,False,True,2 3,562.5,500,subset,1,False,,,False
gsm8k-test-0105,105,1,5,6,1,True,True,1,21,20,identical,0,False,,,False
gsm8k-test-0106,106,1,5,7,2,True,True,1 4 5,200,72,identical,0,False,,,False
gsm8k-test-0108,108,1,15,16,1,True,True,1 2,49.5,50,identical,0,False,,,False
gsm8k-test-0109,109,1,0.2,1.2,1,True,True,1 2,18,28.00,identical,0,False,,,False
gsm8k-test-0110,110,1,14,15,1,True,True,1 2 3,46.5,45,identical,0,False,,,False
gsm8k-test-0111,111,3,2,3,1,False,True,3,24,16,identical,0,False,,,False
gsm8k-test-0112,112,1,3,4,1,True,True,1,32,24,identical,0,False,,,False
gsm8k-test-0113,113,1,5,6,1,True,True,1,24,25,identical,0,False,,,False
gsm8k-test-0115,115,1,1.5,2.5,1,False,True,1 2,270,90,identical,0,False,,,False
gsm8k-test-0116,116,1,120,119,-1,True,True,1,41.65,42,identical,0,False,,,False
gsm8k-test-0117,117,1,60,61,1,True,True,1,366,360,identical,0,False,,,False
